Iteration 0, D_loss = 1.3577,G_loss = 0.7575,train acc = 0.1131, test acc = 0.0938,best acc = 0.0938,lr = 0.00030000 
Iteration 199, D_loss = 0.8196,G_loss = 2.1351,train acc = 0.0753, test acc = 0.0692,best acc = 0.1099,lr = 0.00030000 
Iteration 200, D_loss = 0.8258,G_loss = 2.1256,train acc = 0.0689, test acc = 0.0656,best acc = 0.1099,lr = 0.00030000 
Iteration 201, D_loss = 0.8230,G_loss = 2.1728,train acc = 0.0780, test acc = 0.0677,best acc = 0.1099,lr = 0.00030000 
Iteration 202, D_loss = 0.7718,G_loss = 2.2116,train acc = 0.0825, test acc = 0.0687,best acc = 0.1099,lr = 0.00030000 
Iteration 203, D_loss = 0.7988,G_loss = 2.2593,train acc = 0.0722, test acc = 0.0728,best acc = 0.1099,lr = 0.00030000 
Iteration 204, D_loss = 0.8196,G_loss = 2.1592,train acc = 0.0788, test acc = 0.0876,best acc = 0.1099,lr = 0.00030000 
Iteration 205, D_loss = 0.8064,G_loss = 2.1889,train acc = 0.0859, test acc = 0.0728,best acc = 0.1099,lr = 0.00030000 
Iteration 206, D_loss = 0.8427,G_loss = 2.1662,train acc = 0.0717, test acc = 0.0712,best acc = 0.1099,lr = 0.00030000 
Iteration 207, D_loss = 0.8133,G_loss = 2.1240,train acc = 0.0782, test acc = 0.0702,best acc = 0.1099,lr = 0.00030000 
Iteration 208, D_loss = 0.8063,G_loss = 2.2377,train acc = 0.0779, test acc = 0.0748,best acc = 0.1099,lr = 0.00030000 
Iteration 209, D_loss = 0.8035,G_loss = 2.1522,train acc = 0.0797, test acc = 0.0892,best acc = 0.1099,lr = 0.00030000 
Iteration 210, D_loss = 0.7918,G_loss = 2.2360,train acc = 0.0744, test acc = 0.0774,best acc = 0.1099,lr = 0.00030000 
Iteration 211, D_loss = 0.7926,G_loss = 2.2319,train acc = 0.0854, test acc = 0.0830,best acc = 0.1099,lr = 0.00030000 
Iteration 212, D_loss = 0.8159,G_loss = 2.2118,train acc = 0.0780, test acc = 0.0756,best acc = 0.1099,lr = 0.00030000 
Iteration 213, D_loss = 0.8194,G_loss = 2.1806,train acc = 0.0766, test acc = 0.0704,best acc = 0.1099,lr = 0.00030000 
Iteration 214, D_loss = 0.7977,G_loss = 2.2195,train acc = 0.0768, test acc = 0.0694,best acc = 0.1099,lr = 0.00030000 
Iteration 215, D_loss = 0.8206,G_loss = 2.2116,train acc = 0.0857, test acc = 0.0856,best acc = 0.1099,lr = 0.00030000 
Iteration 216, D_loss = 0.8143,G_loss = 2.1582,train acc = 0.0824, test acc = 0.0765,best acc = 0.1099,lr = 0.00030000 
Iteration 217, D_loss = 0.8132,G_loss = 2.1754,train acc = 0.0785, test acc = 0.0736,best acc = 0.1099,lr = 0.00030000 
Iteration 218, D_loss = 0.8255,G_loss = 2.2295,train acc = 0.0789, test acc = 0.0866,best acc = 0.1099,lr = 0.00030000 
Iteration 219, D_loss = 0.8094,G_loss = 2.1890,train acc = 0.0775, test acc = 0.0742,best acc = 0.1099,lr = 0.00030000 
Iteration 220, D_loss = 0.8074,G_loss = 2.1715,train acc = 0.0731, test acc = 0.0697,best acc = 0.1099,lr = 0.00030000 
Iteration 221, D_loss = 0.8172,G_loss = 2.1789,train acc = 0.0788, test acc = 0.0660,best acc = 0.1099,lr = 0.00030000 
Iteration 222, D_loss = 0.8393,G_loss = 2.2428,train acc = 0.0755, test acc = 0.0756,best acc = 0.1099,lr = 0.00030000 
Iteration 223, D_loss = 0.7893,G_loss = 2.2172,train acc = 0.0849, test acc = 0.0736,best acc = 0.1099,lr = 0.00030000 
Iteration 224, D_loss = 0.8253,G_loss = 2.1178,train acc = 0.0843, test acc = 0.0838,best acc = 0.1099,lr = 0.00030000 
Iteration 225, D_loss = 0.7792,G_loss = 2.3182,train acc = 0.0794, test acc = 0.0788,best acc = 0.1099,lr = 0.00030000 
Iteration 226, D_loss = 0.7898,G_loss = 2.3999,train acc = 0.0826, test acc = 0.0864,best acc = 0.1099,lr = 0.00030000 
Iteration 227, D_loss = 0.8293,G_loss = 2.1651,train acc = 0.0814, test acc = 0.0714,best acc = 0.1099,lr = 0.00030000 
Iteration 228, D_loss = 0.8151,G_loss = 2.2011,train acc = 0.0835, test acc = 0.0794,best acc = 0.1099,lr = 0.00030000 
Iteration 229, D_loss = 0.8177,G_loss = 2.1442,train acc = 0.0772, test acc = 0.0797,best acc = 0.1099,lr = 0.00030000 
Iteration 230, D_loss = 0.8022,G_loss = 2.2322,train acc = 0.0819, test acc = 0.0892,best acc = 0.1099,lr = 0.00030000 
Iteration 231, D_loss = 0.8088,G_loss = 2.1409,train acc = 0.0851, test acc = 0.0849,best acc = 0.1099,lr = 0.00030000 
Iteration 232, D_loss = 0.7862,G_loss = 2.2443,train acc = 0.0749, test acc = 0.0795,best acc = 0.1099,lr = 0.00030000 
Iteration 233, D_loss = 0.7986,G_loss = 2.1870,train acc = 0.0835, test acc = 0.0726,best acc = 0.1099,lr = 0.00030000 
Iteration 234, D_loss = 0.7817,G_loss = 2.2517,train acc = 0.0773, test acc = 0.0814,best acc = 0.1099,lr = 0.00030000 
Iteration 235, D_loss = 0.8059,G_loss = 2.2575,train acc = 0.0796, test acc = 0.0707,best acc = 0.1099,lr = 0.00030000 
Iteration 236, D_loss = 0.7850,G_loss = 2.2529,train acc = 0.0811, test acc = 0.0834,best acc = 0.1099,lr = 0.00030000 
Iteration 237, D_loss = 0.8164,G_loss = 2.1369,train acc = 0.0747, test acc = 0.0756,best acc = 0.1099,lr = 0.00030000 
Iteration 238, D_loss = 0.8025,G_loss = 2.2703,train acc = 0.0777, test acc = 0.0989,best acc = 0.1099,lr = 0.00030000 
Iteration 239, D_loss = 0.8078,G_loss = 2.1869,train acc = 0.0819, test acc = 0.0751,best acc = 0.1099,lr = 0.00030000 
Iteration 240, D_loss = 0.8217,G_loss = 2.1624,train acc = 0.0765, test acc = 0.0776,best acc = 0.1099,lr = 0.00030000 
Iteration 241, D_loss = 0.7925,G_loss = 2.1805,train acc = 0.0662, test acc = 0.0719,best acc = 0.1099,lr = 0.00030000 
Iteration 242, D_loss = 0.7914,G_loss = 2.2616,train acc = 0.0679, test acc = 0.0630,best acc = 0.1099,lr = 0.00030000 
Iteration 243, D_loss = 0.8002,G_loss = 2.2242,train acc = 0.0725, test acc = 0.0728,best acc = 0.1099,lr = 0.00030000 
Iteration 244, D_loss = 0.8175,G_loss = 2.1867,train acc = 0.0669, test acc = 0.0575,best acc = 0.1099,lr = 0.00030000 
Iteration 245, D_loss = 0.8031,G_loss = 2.1451,train acc = 0.0673, test acc = 0.0637,best acc = 0.1099,lr = 0.00030000 
Iteration 246, D_loss = 0.7987,G_loss = 2.2300,train acc = 0.0666, test acc = 0.0614,best acc = 0.1099,lr = 0.00030000 
Iteration 247, D_loss = 0.7858,G_loss = 2.3291,train acc = 0.0712, test acc = 0.0802,best acc = 0.1099,lr = 0.00030000 
Iteration 248, D_loss = 0.7923,G_loss = 2.2547,train acc = 0.0747, test acc = 0.0706,best acc = 0.1099,lr = 0.00030000 
Iteration 249, D_loss = 0.8027,G_loss = 2.2570,train acc = 0.0709, test acc = 0.0711,best acc = 0.1099,lr = 0.00030000 
Iteration 250, D_loss = 0.7996,G_loss = 2.2428,train acc = 0.0763, test acc = 0.0882,best acc = 0.1099,lr = 0.00030000 
Iteration 251, D_loss = 0.7428,G_loss = 2.3537,train acc = 0.0753, test acc = 0.0856,best acc = 0.1099,lr = 0.00030000 
Iteration 252, D_loss = 0.7855,G_loss = 2.2291,train acc = 0.0724, test acc = 0.0697,best acc = 0.1099,lr = 0.00030000 
Iteration 253, D_loss = 0.7574,G_loss = 2.3193,train acc = 0.0807, test acc = 0.0678,best acc = 0.1099,lr = 0.00030000 
Iteration 254, D_loss = 0.8015,G_loss = 2.2240,train acc = 0.0768, test acc = 0.0745,best acc = 0.1099,lr = 0.00030000 
Iteration 255, D_loss = 0.7885,G_loss = 2.2965,train acc = 0.0780, test acc = 0.0702,best acc = 0.1099,lr = 0.00030000 
Iteration 256, D_loss = 0.7524,G_loss = 2.4069,train acc = 0.0712, test acc = 0.0957,best acc = 0.1099,lr = 0.00030000 
Iteration 257, D_loss = 0.7700,G_loss = 2.3705,train acc = 0.0752, test acc = 0.0766,best acc = 0.1099,lr = 0.00030000 
Iteration 258, D_loss = 0.7641,G_loss = 2.3844,train acc = 0.0647, test acc = 0.0695,best acc = 0.1099,lr = 0.00030000 
Iteration 259, D_loss = 0.7473,G_loss = 2.4291,train acc = 0.0725, test acc = 0.0697,best acc = 0.1099,lr = 0.00030000 
Iteration 260, D_loss = 0.7648,G_loss = 2.2983,train acc = 0.0765, test acc = 0.0701,best acc = 0.1099,lr = 0.00030000 
Iteration 261, D_loss = 0.7889,G_loss = 2.3142,train acc = 0.0728, test acc = 0.0785,best acc = 0.1099,lr = 0.00030000 
Iteration 262, D_loss = 0.7605,G_loss = 2.3284,train acc = 0.0800, test acc = 0.1095,best acc = 0.1099,lr = 0.00030000 
Iteration 263, D_loss = 0.7991,G_loss = 2.2930,train acc = 0.0892, test acc = 0.0866,best acc = 0.1099,lr = 0.00030000 
Iteration 264, D_loss = 0.8012,G_loss = 2.2298,train acc = 0.0860, test acc = 0.0790,best acc = 0.1099,lr = 0.00030000 
Iteration 265, D_loss = 0.7587,G_loss = 2.3458,train acc = 0.0791, test acc = 0.0779,best acc = 0.1099,lr = 0.00030000 
Iteration 266, D_loss = 0.7660,G_loss = 2.3232,train acc = 0.0817, test acc = 0.0757,best acc = 0.1099,lr = 0.00030000 
Iteration 267, D_loss = 0.7628,G_loss = 2.3176,train acc = 0.0746, test acc = 0.0833,best acc = 0.1099,lr = 0.00030000 
Iteration 268, D_loss = 0.7457,G_loss = 2.4284,train acc = 0.0828, test acc = 0.0940,best acc = 0.1099,lr = 0.00030000 
Iteration 269, D_loss = 0.7467,G_loss = 2.4401,train acc = 0.0845, test acc = 0.0794,best acc = 0.1099,lr = 0.00030000 
Iteration 270, D_loss = 0.7767,G_loss = 2.3173,train acc = 0.0813, test acc = 0.0913,best acc = 0.1099,lr = 0.00030000 
Iteration 271, D_loss = 0.7888,G_loss = 2.2737,train acc = 0.0812, test acc = 0.0766,best acc = 0.1099,lr = 0.00030000 
Iteration 272, D_loss = 0.7569,G_loss = 2.3406,train acc = 0.0707, test acc = 0.0782,best acc = 0.1099,lr = 0.00030000 
Iteration 273, D_loss = 0.7585,G_loss = 2.3966,train acc = 0.0777, test acc = 0.0730,best acc = 0.1099,lr = 0.00030000 
Iteration 274, D_loss = 0.7426,G_loss = 2.3685,train acc = 0.0816, test acc = 0.0776,best acc = 0.1099,lr = 0.00030000 
Iteration 275, D_loss = 0.7365,G_loss = 2.4032,train acc = 0.0752, test acc = 0.0723,best acc = 0.1099,lr = 0.00030000 
Iteration 276, D_loss = 0.7950,G_loss = 2.2598,train acc = 0.0812, test acc = 0.0807,best acc = 0.1099,lr = 0.00030000 
Iteration 277, D_loss = 0.7846,G_loss = 2.3420,train acc = 0.0867, test acc = 0.0824,best acc = 0.1099,lr = 0.00030000 
Iteration 278, D_loss = 0.7843,G_loss = 2.2637,train acc = 0.0704, test acc = 0.0751,best acc = 0.1099,lr = 0.00030000 
Iteration 279, D_loss = 0.7714,G_loss = 2.2669,train acc = 0.0829, test acc = 0.0818,best acc = 0.1099,lr = 0.00030000 
Iteration 280, D_loss = 0.7542,G_loss = 2.4219,train acc = 0.0749, test acc = 0.0653,best acc = 0.1099,lr = 0.00030000 
Iteration 281, D_loss = 0.7649,G_loss = 2.2865,train acc = 0.0733, test acc = 0.0796,best acc = 0.1099,lr = 0.00030000 
Iteration 282, D_loss = 0.7753,G_loss = 2.3416,train acc = 0.0744, test acc = 0.0801,best acc = 0.1099,lr = 0.00030000 
Iteration 283, D_loss = 0.8021,G_loss = 2.2471,train acc = 0.0756, test acc = 0.0892,best acc = 0.1099,lr = 0.00030000 
Iteration 284, D_loss = 0.7536,G_loss = 2.2868,train acc = 0.0819, test acc = 0.0691,best acc = 0.1099,lr = 0.00030000 
Iteration 285, D_loss = 0.7605,G_loss = 2.3888,train acc = 0.0744, test acc = 0.0755,best acc = 0.1099,lr = 0.00030000 
Iteration 286, D_loss = 0.7520,G_loss = 2.4584,train acc = 0.0736, test acc = 0.0741,best acc = 0.1099,lr = 0.00030000 
Iteration 287, D_loss = 0.7638,G_loss = 2.3331,train acc = 0.0715, test acc = 0.0696,best acc = 0.1099,lr = 0.00030000 
Iteration 288, D_loss = 0.7550,G_loss = 2.3542,train acc = 0.0699, test acc = 0.0696,best acc = 0.1099,lr = 0.00030000 
Iteration 289, D_loss = 0.8022,G_loss = 2.2596,train acc = 0.0743, test acc = 0.0764,best acc = 0.1099,lr = 0.00030000 
Iteration 290, D_loss = 0.7873,G_loss = 2.2710,train acc = 0.0774, test acc = 0.0715,best acc = 0.1099,lr = 0.00030000 
Iteration 291, D_loss = 0.7241,G_loss = 2.3740,train acc = 0.0735, test acc = 0.0840,best acc = 0.1099,lr = 0.00030000 
Iteration 292, D_loss = 0.7693,G_loss = 2.3445,train acc = 0.0729, test acc = 0.0629,best acc = 0.1099,lr = 0.00030000 
Iteration 293, D_loss = 0.7411,G_loss = 2.3449,train acc = 0.0706, test acc = 0.0749,best acc = 0.1099,lr = 0.00030000 
Iteration 294, D_loss = 0.7476,G_loss = 2.3939,train acc = 0.0773, test acc = 0.0669,best acc = 0.1099,lr = 0.00030000 
Iteration 295, D_loss = 0.7527,G_loss = 2.4729,train acc = 0.0742, test acc = 0.0701,best acc = 0.1099,lr = 0.00030000 
Iteration 296, D_loss = 0.7684,G_loss = 2.3367,train acc = 0.0644, test acc = 0.0646,best acc = 0.1099,lr = 0.00030000 
Iteration 297, D_loss = 0.7502,G_loss = 2.3514,train acc = 0.0659, test acc = 0.0618,best acc = 0.1099,lr = 0.00030000 
Iteration 298, D_loss = 0.7646,G_loss = 2.3572,train acc = 0.0676, test acc = 0.0662,best acc = 0.1099,lr = 0.00030000 
Iteration 299, D_loss = 0.7369,G_loss = 2.3712,train acc = 0.0781, test acc = 0.0771,best acc = 0.1099,lr = 0.00030000 
Iteration 300, D_loss = 0.7489,G_loss = 2.3829,train acc = 0.0680, test acc = 0.0741,best acc = 0.1099,lr = 0.00030000 
Iteration 301, D_loss = 0.7195,G_loss = 2.4749,train acc = 0.0749, test acc = 0.0756,best acc = 0.1099,lr = 0.00030000 
Iteration 302, D_loss = 0.7711,G_loss = 2.3715,train acc = 0.0787, test acc = 0.0890,best acc = 0.1099,lr = 0.00030000 
Iteration 303, D_loss = 0.7533,G_loss = 2.3254,train acc = 0.0728, test acc = 0.0805,best acc = 0.1099,lr = 0.00030000 
Iteration 304, D_loss = 0.7507,G_loss = 2.3352,train acc = 0.0808, test acc = 0.0736,best acc = 0.1099,lr = 0.00030000 
Iteration 305, D_loss = 0.7438,G_loss = 2.3974,train acc = 0.0723, test acc = 0.0745,best acc = 0.1099,lr = 0.00030000 
Iteration 306, D_loss = 0.7161,G_loss = 2.4573,train acc = 0.0734, test acc = 0.0680,best acc = 0.1099,lr = 0.00030000 
Iteration 307, D_loss = 0.7526,G_loss = 2.4078,train acc = 0.0660, test acc = 0.0715,best acc = 0.1099,lr = 0.00030000 
Iteration 308, D_loss = 0.7374,G_loss = 2.4666,train acc = 0.0760, test acc = 0.0849,best acc = 0.1099,lr = 0.00030000 
Iteration 309, D_loss = 0.7258,G_loss = 2.3763,train acc = 0.0849, test acc = 0.0789,best acc = 0.1099,lr = 0.00030000 
Iteration 310, D_loss = 0.7310,G_loss = 2.5034,train acc = 0.0766, test acc = 0.0730,best acc = 0.1099,lr = 0.00030000 
Iteration 311, D_loss = 0.7292,G_loss = 2.4341,train acc = 0.0750, test acc = 0.0750,best acc = 0.1099,lr = 0.00030000 
Iteration 312, D_loss = 0.7602,G_loss = 2.4257,train acc = 0.0740, test acc = 0.0757,best acc = 0.1099,lr = 0.00030000 
Iteration 313, D_loss = 0.7548,G_loss = 2.3727,train acc = 0.0763, test acc = 0.0834,best acc = 0.1099,lr = 0.00030000 
Iteration 314, D_loss = 0.7309,G_loss = 2.3898,train acc = 0.0716, test acc = 0.0768,best acc = 0.1099,lr = 0.00030000 
Iteration 315, D_loss = 0.7571,G_loss = 2.3804,train acc = 0.0749, test acc = 0.0776,best acc = 0.1099,lr = 0.00030000 
Iteration 316, D_loss = 0.6982,G_loss = 2.5491,train acc = 0.0708, test acc = 0.0689,best acc = 0.1099,lr = 0.00030000 
Iteration 317, D_loss = 0.7309,G_loss = 2.5624,train acc = 0.0734, test acc = 0.0740,best acc = 0.1099,lr = 0.00030000 
Iteration 318, D_loss = 0.7260,G_loss = 2.4952,train acc = 0.0639, test acc = 0.0699,best acc = 0.1099,lr = 0.00030000 
Iteration 319, D_loss = 0.7220,G_loss = 2.5307,train acc = 0.0704, test acc = 0.0611,best acc = 0.1099,lr = 0.00030000 
Iteration 320, D_loss = 0.7347,G_loss = 2.5050,train acc = 0.0675, test acc = 0.0644,best acc = 0.1099,lr = 0.00030000 
Iteration 321, D_loss = 0.7298,G_loss = 2.4571,train acc = 0.0685, test acc = 0.0713,best acc = 0.1099,lr = 0.00030000 
Iteration 322, D_loss = 0.7310,G_loss = 2.4700,train acc = 0.0770, test acc = 0.0815,best acc = 0.1099,lr = 0.00030000 
Iteration 323, D_loss = 0.7139,G_loss = 2.5457,train acc = 0.0773, test acc = 0.0663,best acc = 0.1099,lr = 0.00030000 
Iteration 324, D_loss = 0.7090,G_loss = 2.5064,train acc = 0.0714, test acc = 0.0822,best acc = 0.1099,lr = 0.00030000 
Iteration 325, D_loss = 0.7362,G_loss = 2.5095,train acc = 0.0781, test acc = 0.0757,best acc = 0.1099,lr = 0.00030000 
Iteration 326, D_loss = 0.7220,G_loss = 2.4768,train acc = 0.0751, test acc = 0.0837,best acc = 0.1099,lr = 0.00030000 
Iteration 327, D_loss = 0.7388,G_loss = 2.5138,train acc = 0.0727, test acc = 0.0774,best acc = 0.1099,lr = 0.00030000 
Iteration 328, D_loss = 0.7000,G_loss = 2.5115,train acc = 0.0727, test acc = 0.0799,best acc = 0.1099,lr = 0.00030000 
Iteration 329, D_loss = 0.7217,G_loss = 2.5870,train acc = 0.0722, test acc = 0.0860,best acc = 0.1099,lr = 0.00030000 
Iteration 330, D_loss = 0.6969,G_loss = 2.5823,train acc = 0.0695, test acc = 0.0743,best acc = 0.1099,lr = 0.00030000 
Iteration 331, D_loss = 0.7201,G_loss = 2.4668,train acc = 0.0691, test acc = 0.0681,best acc = 0.1099,lr = 0.00030000 
Iteration 332, D_loss = 0.6785,G_loss = 2.5633,train acc = 0.0699, test acc = 0.0724,best acc = 0.1099,lr = 0.00030000 
Iteration 333, D_loss = 0.6962,G_loss = 2.5836,train acc = 0.0732, test acc = 0.0716,best acc = 0.1099,lr = 0.00030000 
Iteration 334, D_loss = 0.7021,G_loss = 2.6134,train acc = 0.0708, test acc = 0.0816,best acc = 0.1099,lr = 0.00030000 
Iteration 335, D_loss = 0.7098,G_loss = 2.5702,train acc = 0.0705, test acc = 0.0663,best acc = 0.1099,lr = 0.00030000 
Iteration 336, D_loss = 0.7042,G_loss = 2.5446,train acc = 0.0675, test acc = 0.0778,best acc = 0.1099,lr = 0.00030000 
Iteration 337, D_loss = 0.7181,G_loss = 2.5152,train acc = 0.0671, test acc = 0.0657,best acc = 0.1099,lr = 0.00030000 
Iteration 338, D_loss = 0.7393,G_loss = 2.4015,train acc = 0.0677, test acc = 0.0732,best acc = 0.1099,lr = 0.00030000 
Iteration 339, D_loss = 0.7451,G_loss = 2.4012,train acc = 0.0797, test acc = 0.0772,best acc = 0.1099,lr = 0.00030000 
Iteration 340, D_loss = 0.7195,G_loss = 2.5116,train acc = 0.0708, test acc = 0.0693,best acc = 0.1099,lr = 0.00030000 
Iteration 341, D_loss = 0.7333,G_loss = 2.4507,train acc = 0.0707, test acc = 0.0635,best acc = 0.1099,lr = 0.00030000 
Iteration 342, D_loss = 0.7356,G_loss = 2.4030,train acc = 0.0670, test acc = 0.0545,best acc = 0.1099,lr = 0.00030000 
Iteration 343, D_loss = 0.6930,G_loss = 2.5110,train acc = 0.0681, test acc = 0.0723,best acc = 0.1099,lr = 0.00030000 
Iteration 344, D_loss = 0.7095,G_loss = 2.5411,train acc = 0.0775, test acc = 0.0742,best acc = 0.1099,lr = 0.00030000 
Iteration 345, D_loss = 0.6945,G_loss = 2.6837,train acc = 0.0707, test acc = 0.0811,best acc = 0.1099,lr = 0.00030000 
Iteration 346, D_loss = 0.6779,G_loss = 2.6144,train acc = 0.0738, test acc = 0.0835,best acc = 0.1099,lr = 0.00030000 
Iteration 347, D_loss = 0.6999,G_loss = 2.5963,train acc = 0.0736, test acc = 0.0845,best acc = 0.1099,lr = 0.00030000 
Iteration 348, D_loss = 0.7471,G_loss = 2.4718,train acc = 0.0773, test acc = 0.0834,best acc = 0.1099,lr = 0.00030000 
Iteration 349, D_loss = 0.7221,G_loss = 2.4827,train acc = 0.0786, test acc = 0.0766,best acc = 0.1099,lr = 0.00030000 
Iteration 350, D_loss = 0.7098,G_loss = 2.4970,train acc = 0.0718, test acc = 0.0917,best acc = 0.1099,lr = 0.00030000 
Iteration 351, D_loss = 0.7138,G_loss = 2.5572,train acc = 0.0722, test acc = 0.0753,best acc = 0.1099,lr = 0.00030000 
Iteration 352, D_loss = 0.7157,G_loss = 2.4318,train acc = 0.0736, test acc = 0.0780,best acc = 0.1099,lr = 0.00030000 
Iteration 353, D_loss = 0.7265,G_loss = 2.5455,train acc = 0.0644, test acc = 0.0662,best acc = 0.1099,lr = 0.00030000 
Iteration 354, D_loss = 0.7003,G_loss = 2.5766,train acc = 0.0702, test acc = 0.0876,best acc = 0.1099,lr = 0.00030000 
Iteration 355, D_loss = 0.6889,G_loss = 2.5526,train acc = 0.0777, test acc = 0.0709,best acc = 0.1099,lr = 0.00030000 
Iteration 356, D_loss = 0.7606,G_loss = 2.4509,train acc = 0.0680, test acc = 0.0659,best acc = 0.1099,lr = 0.00030000 
Iteration 357, D_loss = 0.7164,G_loss = 2.4641,train acc = 0.0709, test acc = 0.0769,best acc = 0.1099,lr = 0.00030000 
Iteration 358, D_loss = 0.7235,G_loss = 2.4562,train acc = 0.0683, test acc = 0.0781,best acc = 0.1099,lr = 0.00030000 
Iteration 359, D_loss = 0.6908,G_loss = 2.5125,train acc = 0.0712, test acc = 0.0778,best acc = 0.1099,lr = 0.00030000 
Iteration 360, D_loss = 0.7092,G_loss = 2.4978,train acc = 0.0733, test acc = 0.0688,best acc = 0.1099,lr = 0.00030000 
Iteration 361, D_loss = 0.7234,G_loss = 2.5224,train acc = 0.0733, test acc = 0.0792,best acc = 0.1099,lr = 0.00030000 
Iteration 362, D_loss = 0.7205,G_loss = 2.5607,train acc = 0.0762, test acc = 0.0753,best acc = 0.1099,lr = 0.00030000 
Iteration 363, D_loss = 0.6838,G_loss = 2.5591,train acc = 0.0793, test acc = 0.0815,best acc = 0.1099,lr = 0.00030000 
Iteration 364, D_loss = 0.6872,G_loss = 2.5937,train acc = 0.0814, test acc = 0.0820,best acc = 0.1099,lr = 0.00030000 
Iteration 365, D_loss = 0.6777,G_loss = 2.6284,train acc = 0.0787, test acc = 0.0778,best acc = 0.1099,lr = 0.00030000 
Iteration 366, D_loss = 0.6831,G_loss = 2.5996,train acc = 0.0791, test acc = 0.0871,best acc = 0.1099,lr = 0.00030000 
Iteration 367, D_loss = 0.6660,G_loss = 2.7160,train acc = 0.0817, test acc = 0.0835,best acc = 0.1099,lr = 0.00030000 
Iteration 368, D_loss = 0.6989,G_loss = 2.5501,train acc = 0.0766, test acc = 0.0794,best acc = 0.1099,lr = 0.00030000 
Iteration 369, D_loss = 0.6787,G_loss = 2.6286,train acc = 0.0816, test acc = 0.0836,best acc = 0.1099,lr = 0.00030000 
Iteration 370, D_loss = 0.6656,G_loss = 2.6771,train acc = 0.0793, test acc = 0.0854,best acc = 0.1099,lr = 0.00030000 
Iteration 371, D_loss = 0.6826,G_loss = 2.6919,train acc = 0.0812, test acc = 0.1053,best acc = 0.1099,lr = 0.00030000 
Iteration 372, D_loss = 0.6902,G_loss = 2.6127,train acc = 0.0849, test acc = 0.0896,best acc = 0.1099,lr = 0.00030000 
Iteration 373, D_loss = 0.6764,G_loss = 2.6421,train acc = 0.0819, test acc = 0.0745,best acc = 0.1099,lr = 0.00030000 
Iteration 374, D_loss = 0.6851,G_loss = 2.5933,train acc = 0.0764, test acc = 0.0859,best acc = 0.1099,lr = 0.00030000 
Iteration 375, D_loss = 0.6898,G_loss = 2.6532,train acc = 0.0788, test acc = 0.0754,best acc = 0.1099,lr = 0.00030000 
Iteration 376, D_loss = 0.7261,G_loss = 2.5388,train acc = 0.0746, test acc = 0.0800,best acc = 0.1099,lr = 0.00030000 
Iteration 377, D_loss = 0.6804,G_loss = 2.6275,train acc = 0.0790, test acc = 0.0741,best acc = 0.1099,lr = 0.00030000 
Iteration 378, D_loss = 0.6692,G_loss = 2.6364,train acc = 0.0748, test acc = 0.0782,best acc = 0.1099,lr = 0.00030000 
Iteration 379, D_loss = 0.6838,G_loss = 2.6528,train acc = 0.0714, test acc = 0.0744,best acc = 0.1099,lr = 0.00030000 
Iteration 380, D_loss = 0.6592,G_loss = 2.7010,train acc = 0.0728, test acc = 0.0818,best acc = 0.1099,lr = 0.00030000 
Iteration 381, D_loss = 0.6902,G_loss = 2.7087,train acc = 0.0680, test acc = 0.0686,best acc = 0.1099,lr = 0.00030000 
Iteration 382, D_loss = 0.6938,G_loss = 2.6160,train acc = 0.0741, test acc = 0.0815,best acc = 0.1099,lr = 0.00030000 
Iteration 383, D_loss = 0.7072,G_loss = 2.5076,train acc = 0.0752, test acc = 0.0796,best acc = 0.1099,lr = 0.00030000 
Iteration 384, D_loss = 0.6623,G_loss = 2.6896,train acc = 0.0749, test acc = 0.0691,best acc = 0.1099,lr = 0.00030000 
Iteration 385, D_loss = 0.6721,G_loss = 2.6813,train acc = 0.0679, test acc = 0.0795,best acc = 0.1099,lr = 0.00030000 
Iteration 386, D_loss = 0.6883,G_loss = 2.5795,train acc = 0.0767, test acc = 0.0701,best acc = 0.1099,lr = 0.00030000 
Iteration 387, D_loss = 0.6904,G_loss = 2.5626,train acc = 0.0714, test acc = 0.0741,best acc = 0.1099,lr = 0.00030000 
Iteration 388, D_loss = 0.6910,G_loss = 2.6670,train acc = 0.0742, test acc = 0.0811,best acc = 0.1099,lr = 0.00030000 
Iteration 389, D_loss = 0.6919,G_loss = 2.5981,train acc = 0.0758, test acc = 0.0866,best acc = 0.1099,lr = 0.00030000 
Iteration 390, D_loss = 0.6637,G_loss = 2.6722,train acc = 0.0805, test acc = 0.0823,best acc = 0.1099,lr = 0.00030000 
Iteration 391, D_loss = 0.6857,G_loss = 2.6327,train acc = 0.0801, test acc = 0.0712,best acc = 0.1099,lr = 0.00030000 
Iteration 392, D_loss = 0.6858,G_loss = 2.6171,train acc = 0.0727, test acc = 0.0630,best acc = 0.1099,lr = 0.00030000 
Iteration 393, D_loss = 0.6700,G_loss = 2.6748,train acc = 0.0674, test acc = 0.0764,best acc = 0.1099,lr = 0.00030000 
Iteration 394, D_loss = 0.6652,G_loss = 2.7396,train acc = 0.0733, test acc = 0.0780,best acc = 0.1099,lr = 0.00030000 
Iteration 395, D_loss = 0.6805,G_loss = 2.6699,train acc = 0.0820, test acc = 0.0721,best acc = 0.1099,lr = 0.00030000 
Iteration 396, D_loss = 0.6757,G_loss = 2.5887,train acc = 0.0795, test acc = 0.0729,best acc = 0.1099,lr = 0.00030000 
Iteration 397, D_loss = 0.6436,G_loss = 2.7291,train acc = 0.0729, test acc = 0.0871,best acc = 0.1099,lr = 0.00030000 
